	is_pure_by_Sam	sel_for_tumor_normal_comp	sel_for_in_group_comp	sample_type	genomic_group	tissue	tissue_color	include_in_analysis	include_in_pure_tumor_analysis	tumor_genomic_group
Ln5	y	y	y	t	G3	Ln	blue	y	y	G3
Ln6	y	y	y	t	G2	Ln	blue	y	y	G2
Ln7	y	y	y	t	Ln7	Ln	blue	y	y	Ln7
Ln7-adj	na	y	y	n	Ln7	Ln	gray	y	no	na
Ln8	y	y	y	t	G3	Ln	blue	y	y	G3
Ln8-adj	na	y	y	n	G3	Ln	gray	y	no	na
Ln12	no	no	no	t	G5	Ln	gray	y	no	G5
Ln12-adj	na	no	no	n	G5	Ln	gray	y	no	na
Ln12-dist	na	y	no	n	G5	Ln	gray	y	no	na
Ln10	y	y	y	t	G3	Ln	blue	y	y	G3
Sk1	no	no	no	t 	G5	Sk	gray	y	no	G5
Ln11	no	no	no	t	G4	Ln	blue	y	no	G4
Kd1	no	no	no	t	G1	Kd	black	y	no	G1
Bn3	no	no	no	t	G3	Bn	pink	y	no	G3
Bn2	y	y	y	t	G3	Bn	pink	y	y	G3
Lv1	y	y	y	t	G1	Lv	green	y	y	G1
Bo1	y	y	y	t	G3	Bo	orange	y	y	G3
Bo3	y	y	y	t	G3	Bo	orange	y	y	G3
Lv4	y	y	y	t	G1	Lv	green	y	y	G1
Ly1	y	y	y	t	G2	Ly	purple	y	y	G2
Bn1	y	y	y	t	G3	Bn	pink	y	y	G3
Ln1	no	no	no	t	G5	Ln	blue	y	no	Ln1
Lv3	no	no	no	t	G3	Lv	green	y	y	G3
Ly2	no	y	y	t	G4	Ly	purple	y	y	G4
Ln9	y	y	y	t	Ln9	Ln	blue	y	y	Ln9
Ln2-adj	na	no	no	n	G5	Ln	gray	y	no	na
Ln2-dist	na	y	y	n	G3	Ln	gray	y	no	na
Ln5-adj	na	y	y	n	G3	Ln	gray	y	no	na
Ln6-adj	na	y	y	n	G2	Ln	gray	y	no	na
Kd1-adj	na	y	y	n	G1	Kd	gray	y	no	na
Kd1-dist	na	y	y	n	G1	Kd	gray	y	no	na
Pa1	y	y	y	t	G1	Pa	yellow	y	y	G1
Ln1-adj	na	no	no	n	G5	Ln	gray	y	no	na
Bn4	y	y	y	t	G3	Bn	pink	y	y	G3
Lv2	y	y	y	t	G1	Lv	green	y	y	G1
Bo2	y	y	y	t	G3	Bo	orange	y	y	G3
Ln1-dist	na	y	no	n	Ln1	Ln	gray	y	no	na
Ln2	no	no	no	t	G3	Ln	blue	y	no	G3
Ln3	y	y	y	t	G4	Ln	blue	y	y	G4
Ln4	no	no	y	t	G1	Ln	blue	y	no	G1
Ln4-adj	na	no	y	n 	G1	Ln	gray	y	no	na
Ln4-dist	na	y	y	n 	G1	Ln	gray	y	no	na
